,adults_in_families,average_shelter_stays_for_families,children,month,single_adults,single_men,single_women,total_families,total_persons_in_families,total_population,year
0,"2,587",165,"5,367",JUN,"4,876","4,277",599,"2,042","7,954","12,830",1983
1,"2,587",162,"5,367",JUL,"4,733","4,118",615,"2,042","7,954","12,687",1983
2,"2,869",192,"5,951",OCT,"5,418","4,747",671,"2,205","8,820","14,238",1983
3,"2,974",189,"6,230",NOV,"5,651","4,944",707,"2,301","9,204","14,855",1983
4,"3,227",147,"6,326",JAN,"6,110","5,374",736,"2,589","9,553","15,663",1984
5,"3,455",147,"6,670",FEB,"6,228","5,492",736,"2,807","10,125","16,353",1984
6,"3,509",150,"6,793",MAR,"6,368","5,638",730,"2,856","10,302","16,670",1984
7,"3,836",234,"7,446",OCT,"6,336","5,514",822,"3,178","11,282","17,618",1984
8,"3,986",258,"7,732",DEC,"6,839","5,994",845,"3,255","11,718","18,557",1984
9,"4,119",270,"7,997",JAN,"7,184","6,307",877,"3,394","12,116","19,300",1985
10,"4,504",282,"8,170",APR,"7,301","6,449",852,"3,455","12,674","19,975",1985
11,"4,377",297,"8,309",MAY,"7,144","6,290",854,"3,514","12,686","19,830",1985
12,"4,462",315,"8,510",JUN,"6,940","6,092",848,"3,554","12,972","19,912",1985
13,"4,670",315,"9,067",JUL,"6,748","5,905",843,"3,774","13,737","20,485",1985
14,"4,805",315,"9,330",AUG,"6,676","5,815",861,"3,841","14,135","20,811",1985
15,"4,838",320,"9,393",SEP,"6,889","5,972",917,"3,867","14,231","21,120",1985
16,"4,938",329,"9,591",OCT,"7,116","6,211",905,"3,959","14,529","21,645",1985
17,"4,968",343,"9,644",NOV,"7,490","6,580",910,"3,960","14,612","22,102",1985
18,"5,022",358,"9,908",DEC,"8,317","7,362",955,"4,046","14,930","23,247",1985
19,"5,017",409,"10,190",JAN,"8,805","7,818",987,"4,110","15,207","24,012",1986
20,"5,146",365,"10,193",FEB,"9,510","8,516",994,"4,157","15,339","24,849",1986
21,"5,010",378,"9,922",MAR,"9,216","8,234",982,"4,100","14,932","24,148",1986
22,"5,062",384,"9,990",APR,"9,113","8,152",961,"4,114","15,052","24,165",1986
23,"5,014",394,"9,917",MAY,"8,789","7,819",970,"4,116","14,931","23,720",1986
24,"5,551",395,"9,989",JUN,"8,519","7,560",959,"4,183","15,540","24,059",1986
25,"5,164",398,"10,034",JUL,"8,210","7,244",966,"4,222","15,198","23,408",1986
26,"5,311",404,"10,373",AUG,"8,267","7,289",978,"4,265","15,684","23,951",1986
27,"5,550",389,"10,773",SEP,"8,612","7,593","1,019","4,476","16,323","24,935",1986
28,"5,659",387,"10,882",OCT,"8,863","7,816","1,047","4,524","16,541","25,404",1986
29,"5,728",384,"10,912",NOV,"9,441","8,371","1,070","4,560","16,640","26,081",1986
30,"5,785",397,"11,128",DEC,"9,696","8,605","1,091","4,608","16,913","26,609",1986
31,"5,895",395,"11,447",JAN,"10,064","8,978","1,086","4,683","17,342","27,406",1987
32,"6,035",401,"11,814",FEB,"10,169","9,076","1,093","4,781","17,849","28,018",1987
33,"6,061",398,"11,773",MAR,"10,903","9,780","1,123","4,816","17,834","28,737",1987
34,"6,166",401,"11,971",APR,"10,090","8,983","1,107","4,887","18,137","28,227",1987
